cesm,Gromacs-CPU-2,Jacob-MemXCT-CPU,agupta01-hpcg-cpu,agupta01-hpcg-gpu,gromacs-GPU-working,hoz-scc,hoz-scc2,hpcg-gpu-2,miniVite-strong-scale-tests,zihao-gromacs-CPU,zihao-gromacs-GPU
11/10/20:02:00:12,0.334104,23.797172,0.347255,0,0,0,0,0,0,0,0,0
11/10/20:02:06:13,0.334104,23.797172,0.347255,0,0,0,0,0,0,0,0,0
11/10/20:02:12:13,0.334104,23.797172,0.347255,0,0,0,0,0,0,0,0,0
11/10/20:02:18:12,0.334104,23.797172,0.347255,0,0,0,0,0,0,0,0,0
11/10/20:02:24:13,0.334104,23.797172,0.347255,0,0,0,0,0,0,0,0,0
11/10/20:02:30:12,0.334104,23.797172,0.347255,0,0,0,0,0,0,0,0,0
11/10/20:02:36:13,0.334104,23.797172,0.347255,0,0,0,0,0,0,0,0,0
11/10/20:02:42:12,0.334104,23.797172,0.347255,0,0,0,0,0,0,0,0,0
11/10/20:02:48:13,0.334104,23.797172,0.347255,0,0,0,0,0,0,0,0,0
11/10/20:02:54:13,0.334104,3.997172,0.347255,0,0,0,0,0,0,0,0,0
11/10/20:03:00:13,0.334104,3.997172,0.347255,0,0,0,0,0,0,0,0,0
11/10/20:03:06:13,0.334104,0,0.347255,0,0,0,0,0,0,0,0,0
11/10/20:03:12:13,0.334104,0,0.347255,0,0,0,0,0,0,0,0,0
11/10/20:03:18:13,0.334104,0,0.347255,0,0,0,0,0,0,0,0,0
11/10/20:03:24:12,0.334104,0,0.347255,0,0,0,0,0,0,0,0,0
11/10/20:03:30:13,0.334104,0,0.347255,0,0,0,0,0,0,0,0,0
11/10/20:03:36:12,0.334104,0,0.347255,0,0,0,0,0,0,0,0,0
11/10/20:03:42:12,0.334104,0,0.347255,0,0,0,0,0,0,0,0,0
11/10/20:03:48:12,0.334104,0,0.347255,0,0,0,0,0,0,0,0,0
